date,Classified area WH (ha)
2024-06-14 03:54:28,6.46
2024-06-19 03:54:31,15.64
2024-08-08 03:54:26,2.75
2024-10-22 03:54:26,4.83
2024-11-01 03:54:25,3.78
2024-11-11 03:54:20,6.87
2024-11-16 03:54:25,0.9
2024-11-26 03:54:24,6.380000000000001
2024-12-01 03:54:27,9.19
2024-12-06 03:54:26,4.77
2024-12-11 03:54:26,13.25
2024-12-21 03:54:26,11.559999999999999
2024-12-31 03:54:26,10.2
2025-01-05 03:54:23,7.76
2025-01-10 03:54:25,14.74
2025-01-15 03:54:23,7.42
2025-01-20 03:54:26,11.41
2025-01-25 03:54:54,18.33
2025-01-30 03:54:28,0.86
2025-02-04 03:54:52,1.17
2025-02-09 03:54:28,8.57
2025-02-14 03:54:50,8.31
2025-03-01 03:54:28,0.36000000000000004
2025-03-06 03:54:49,6.26
2025-03-16 03:54:49,0.08
2025-04-20 03:54:27,12.88
2025-04-25 03:54:47,2.17
